Gm#,Date,Tm,Location,Opp,W/L,Rank,Win,Loss,Save
1,2021-04-02,BOS,Home,BAL,L,4,Means,Eovaldi,Valdez
2,2021-04-03,BOS,Home,BAL,L,5,Plutko,Houck,Valdez
3,2021-04-04,BOS,Home,BAL,L,5,Zimmermann,Richards,
4,2021-04-05,BOS,Home,TBR,W,5,Pivetta,Wacha,
5,2021-04-06,BOS,Home,TBR,W-wo,4,Valdez,Thompson,
6,2021-04-07,BOS,Home,TBR,W,2,Eovaldi,Yarbrough,
7,2021-04-08,BOS,Away,BAL,W,1,Rodriguez,Harvey,
8,2021-04-09,BOS,Away,BAL,W,1,Barnes,Tate,Andriese
9,2021-04-10,BOS,Away,BAL,W,1,Pivetta,Lopez,
10,2021-04-11,BOS,Away,MIN,W,1,Ottavino,Dobnak,Barnes
11,2021-04-12,BOS,Away,MIN,W,1,Eovaldi,Maeda,Barnes
12,2021-04-13,BOS,Away,MIN,W,1,Rodriguez,Berrios,
13,2021-04-14,BOS,Away,MIN,L-wo,1,Colome,Ottavino,
14,2021-04-15,BOS,Home,CHW,W,1,Ottavino,Heuer,
15,2021-04-16,BOS,Home,CHW,L,1,Keuchel,Houck,Hendriks
16,2021-04-17,BOS,Home,CHW,L,1,Foster,Perez,
17,2021-04-18,BOS,Home,CHW,W,1,Eovaldi,Giolito,
18,2021-04-19,BOS,Home,TOR,W,1,Rodriguez,Ryu,Barnes
19,2021-04-20,BOS,Home,TOR,L,1,Borucki,Richards,Castro
20,2021-04-21,BOS,Home,SEA,L,1,Montero,Hernandez,
21,2021-04-22,BOS,Home,SEA,W,1,Sawamura,Kikuchi,
22,2021-04-23,BOS,Home,SEA,L,1,Flexen,Eovaldi,
23,2021-04-24,BOS,Home,SEA,W,1,Rodriguez,Margevicius,Barnes
24,2021-04-25,BOS,Away,NYM,W,1,Richards,Peterson,Barnes
25,2021-04-26,BOS,Away,NYM,W,1,Pivetta,deGrom,Barnes
26,2021-04-27,BOS,Away,TEX,L,1,Gibson,Perez,Kennedy
27,2021-04-28,BOS,Away,TEX,W,1,Eovaldi,Arihara,
28,2021-04-29,BOS,Away,TEX,L,1,Sborz,Andriese,Kennedy
29,2021-04-30,BOS,Away,TEX,L,1,Sborz,Ottavino,Kennedy
30,2021-05-01,BOS,Home,DET,W,1,Pivetta,Fulmer,Barnes
31,2021-05-02,BOS,Home,DET,L,1,Soto,Whitlock,Fulmer
