Gm#,Date,Tm,Location,Opp,W/L,Win,Loss,Save
1,2021-04-02,BOS,Home,BAL,L,Means,Eovaldi,Valdez
2,2021-04-03,BOS,Home,BAL,L,Plutko,Houck,Valdez
3,2021-04-04,BOS,Home,BAL,L,Zimmermann,Richards,
4,2021-04-05,BOS,Home,TBR,W,Pivetta,Wacha,
5,2021-04-06,BOS,Home,TBR,W-wo,Valdez,Thompson,
6,2021-04-07,BOS,Home,TBR,W,Eovaldi,Yarbrough,
7,2021-04-08,BOS,Away,BAL,W,Rodriguez,Harvey,
8,2021-04-10,BOS,Away,BAL,W,Barnes,Tate,Andriese
9,2021-04-11,BOS,Away,BAL,W,Pivetta,Lopez,
10,2021-04-13,BOS,Away,MIN,W,Ottavino,Dobnak,Barnes
11,2021-04-14,BOS,Away,MIN,W,Eovaldi,Maeda,Barnes
12,2021-04-14,BOS,Away,MIN,W,Rodriguez,Berrios,
13,2021-04-15,BOS,Away,MIN,L-wo,Colome,Ottavino,
14,2021-04-17,BOS,Home,CHW,W,Ottavino,Heuer,
15,2021-04-18,BOS,Home,CHW,L,Keuchel,Houck,Hendriks
16,2021-04-18,BOS,Home,CHW,L,Foster,Perez,
17,2021-04-19,BOS,Home,CHW,W,Eovaldi,Giolito,
18,2021-04-20,BOS,Home,TOR,W,Rodriguez,Ryu,Barnes
19,2021-04-21,BOS,Home,TOR,L,Borucki,Richards,Castro
20,2021-04-22,BOS,Home,SEA,L,Montero,Hernandez,
21,2021-04-23,BOS,Home,SEA,W,Sawamura,Kikuchi,
22,2021-04-24,BOS,Home,SEA,L,Flexen,Eovaldi,
23,2021-04-25,BOS,Home,SEA,W,Rodriguez,Margevicius,Barnes
24,2021-04-27,BOS,Away,NYM,W,Richards,Peterson,Barnes
25,2021-04-28,BOS,Away,NYM,W,Pivetta,deGrom,Barnes
26,2021-04-29,BOS,Away,TEX,L,Gibson,Perez,Kennedy
27,2021-04-30,BOS,Away,TEX,W,Eovaldi,Arihara,
28,2021-05-01,BOS,Away,TEX,L,Sborz,Andriese,Kennedy
29,2021-05-02,BOS,Away,TEX,L,Sborz,Ottavino,Kennedy
30,2021-05-04,BOS,Home,DET,W,Pivetta,Fulmer,Barnes
31,2021-05-05,BOS,Home,DET,L,Soto,Whitlock,Fulmer
32,2021-05-06,BOS,Home,DET,W,Andriese,Lange,Ottavino
33,2021-05-07,BOS,Away,BAL,W,Rodriguez,Harvey,
34,2021-05-08,BOS,Away,BAL,W,Richards,Lowther,
35,2021-05-09,BOS,Away,BAL,W,Pivetta,Kremer,Barnes
36,2021-05-10,BOS,Away,BAL,L,Scott,Andriese,Valdez
37,2021-05-11,BOS,Home,OAK,L,Bassitt,Hernandez,Diekman
38,2021-05-12,BOS,Home,OAK,L,Kaprielian,Rodriguez,Diekman
39,2021-05-13,BOS,Home,OAK,W,Richards,Manaea,Whitlock
40,2021-05-14,BOS,Home,LAA,W,Andriese,Watson,Barnes
41,2021-05-15,BOS,Home,LAA,W,Perez,Bundy,
42,2021-05-16,BOS,Home,LAA,L,Iglesias,Barnes,Mayers
43,2021-05-18,BOS,Away,TOR,L,Ryu,Rodriguez,
44,2021-05-19,BOS,Away,TOR,W,Richards,Stripling,
45,2021-05-20,BOS,Away,TOR,W,Valdez,Dolis,Barnes
46,2021-05-21,BOS,Away,PHI,W,Perez,Nola,
47,2021-05-22,BOS,Away,PHI,W,Eovaldi,Howard,Barnes
48,2021-05-23,BOS,Away,PHI,L,Wheeler,Rodriguez,
49,2021-05-25,BOS,Home,ATL,L,Morton,Richards,Smith
50,2021-05-26,BOS,Home,ATL,W,Pivetta,Smyly,
51,2021-05-28,BOS,Home,MIA,W,Perez,Poteet,Ottavino
52,2021-05-29,BOS,Home,MIA,W,Eovaldi,Rogers,Barnes
53,2021-05-31,BOS,Away,HOU,L,Urquidy,Rodriguez,
54,2021-06-01,BOS,Away,HOU,L,Garcia,Richards,
55,2021-06-02,BOS,Away,HOU,L,Valdez,Pivetta,Pressly
56,2021-06-03,BOS,Away,HOU,W,Perez,Odorizzi,
57,2021-06-04,BOS,Away,NYY,W,Eovaldi,King,Barnes
58,2021-06-05,BOS,Away,NYY,W,Whitlock,Green,Barnes
59,2021-06-06,BOS,Away,NYY,W,Barnes,Cessa,Valdez
60,2021-06-07,BOS,Home,MIA,W,Sawamura,Thompson,Ottavino
61,2021-06-08,BOS,Home,HOU,L,Valdez,Perez,
62,2021-06-09,BOS,Home,HOU,L,Odorizzi,Eovaldi,Javier
63,2021-06-10,BOS,Home,HOU,W,Hernandez,Taylor,
64,2021-06-11,BOS,Home,TOR,W-wo,Whitlock,Dolis,
65,2021-06-12,BOS,Home,TOR,L,Matz,Pivetta,
66,2021-06-13,BOS,Home,TOR,L,Ray,Perez,
67,2021-06-14,BOS,Home,TOR,W-wo,Barnes,Dolis,
68,2021-06-15,BOS,Away,ATL,W,Sawamura,Martin,Barnes
69,2021-06-16,BOS,Away,ATL,W,Rios,Greene,Ottavino
70,2021-06-18,BOS,Away,KCR,L,Bubic,Pivetta,Holland
71,2021-06-19,BOS,Away,KCR,W,Perez,Keller,
72,2021-06-20,BOS,Away,KCR,L,Minor,Eovaldi,
73,2021-06-22,BOS,Away,TBR,W,Hernandez,Fairbanks,
74,2021-06-23,BOS,Away,TBR,L,Hill,Richards,
75,2021-06-24,BOS,Away,TBR,L-wo,Feyereisen,Barnes,
76,2021-06-25,BOS,Home,NYY,W,Whitlock,German,Barnes
77,2021-06-26,BOS,Home,NYY,W,Eovaldi,Montgomery,Ottavino
78,2021-06-27,BOS,Home,NYY,W,Rodriguez,Cole,
79,2021-06-28,BOS,Home,KCR,W,Sawamura,Staumont,Barnes
80,2021-06-29,BOS,Home,KCR,W,Rios,Brentz,Barnes
81,2021-06-30,BOS,Home,KCR,W,Perez,Minor,
82,2021-07-01,BOS,Home,KCR,W,Eovaldi,Bubic,
83,2021-07-02,BOS,Away,OAK,W,Barnes,Trivino,Ottavino
84,2021-07-03,BOS,Away,OAK,L-wo,Wendelken,Andriese,
85,2021-07-04,BOS,Away,OAK,W,Pivetta,Kaprielian,Barnes
86,2021-07-05,BOS,Away,LAA,W,Perez,Suarez,Ottavino
87,2021-07-06,BOS,Away,LAA,L,Ohtani,Eovaldi,Iglesias
88,2021-07-07,BOS,Away,LAA,L,Heaney,Rodriguez,Iglesias
89,2021-07-09,BOS,Home,PHI,W,Richards,Velasquez,
90,2021-07-10,BOS,Home,PHI,L,Falter,Perez,
91,2021-07-11,BOS,Home,PHI,L,Sanchez,Pivetta,Suarez
92,2021-07-16,BOS,Away,NYY,W,Rodriguez,Montgomery,Houck
93,2021-07-17,BOS,Away,NYY,L,Cole,Sawamura,
94,2021-07-18,BOS,Away,NYY,L,Taillon,Perez,
95,2021-07-19,BOS,Away,TOR,W,Pivetta,Stripling,
96,2021-07-21,BOS,Away,TOR,W,Richards,Ray,Barnes
97,2021-07-22,BOS,Home,NYY,W-wo,Barnes,Kriske,
98,2021-07-23,BOS,Home,NYY,W,Rios,Cole,
99,2021-07-24,BOS,Home,NYY,L,Taillon,Ottavino,Chapman
100,2021-07-25,BOS,Home,NYY,W,Workman,Loaisiga,Barnes
101,2021-07-26,BOS,Home,TOR,W,Ottavino,Richards,Barnes
102,2021-07-28,BOS,Home,TOR,L,Ray,Richards,Romano
103,2021-07-28,BOS,Home,TOR,W,Whitlock,Matz,Barnes
104,2021-07-29,BOS,Home,TOR,L,Ryu,Rodriguez,
105,2021-07-30,BOS,Away,TBR,L,Fleming,Perez,
106,2021-07-31,BOS,Away,TBR,L,Kittredge,Eovaldi,
107,2021-08-01,BOS,Away,TBR,L,McClanahan,Pivetta,Wisler
108,2021-08-03,BOS,Away,DET,L,Funkhouser,Richards,Soto
109,2021-08-04,BOS,Away,DET,W,Rodriguez,Mize,Barnes
110,2021-08-05,BOS,Away,DET,L,Skubal,Perez,
111,2021-08-06,BOS,Away,TOR,L,Manoah,Eovaldi,
112,2021-08-07,BOS,Away,TOR,L-wo,Romano,Barnes,
113,2021-08-07,BOS,Away,TOR,W,Barnes,Cimber,Ottavino
114,2021-08-08,BOS,Away,TOR,L,Dolis,Barnes,Romano
115,2021-08-10,BOS,Home,TBR,L,Kittredge,Barnes,
116,2021-08-11,BOS,Home,TBR,W,Eovaldi,Fleming,
117,2021-08-12,BOS,Home,TBR,L,McHugh,Houck,
118,2021-08-13,BOS,Home,BAL,W,Pivetta,Watkins,Richards
119,2021-08-14,BOS,Home,BAL,W,Sale,Lopez,
120,2021-08-15,BOS,Home,BAL,W,Rodriguez,Akin,
121,2021-08-17,BOS,Away,NYY,L,Abreu,Whitlock,Loaisiga
122,2021-08-17,BOS,Away,NYY,L,Peralta,Eovaldi,Green
123,2021-08-18,BOS,Away,NYY,L,Heaney,Pivetta,Luetge
