Tm,W,L,W-L%,R
SFG,107,55,0.66,5
LAD,106,56,0.654,5.1
TBR,100,62,0.617,5.3
HOU,95,67,0.586,5.3
MIL,95,67,0.586,4.6
CHW,93,69,0.574,4.9
BOS,92,70,0.568,5.1
NYY,92,70,0.568,4.4
TOR,91,71,0.562,5.2
STL,90,72,0.556,4.4
SEA,90,72,0.556,4.3
ATL,88,73,0.547,4.9
OAK,86,76,0.531,4.6
CIN,83,79,0.512,4.9
PHI,82,80,0.506,4.5
CLE,80,82,0.494,4.4
SDP,79,83,0.488,4.5
DET,77,85,0.475,4.3
NYM,77,85,0.475,3.9
LAA,77,85,0.475,4.5
COL,74,87,0.46,4.6
KCR,74,88,0.457,4.2
MIN,73,89,0.451,4.5
CHC,71,91,0.438,4.4
MIA,67,95,0.414,3.8
WSN,65,97,0.401,4.5
PIT,61,101,0.377,3.8
TEX,60,102,0.37,3.9
ARI,52,110,0.321,4.2
BAL,52,110,0.321,4.1
Average,80,80,0.5,4.5
